PartHeading,L1,L2,L3
Part 1— Application and Operation,1. Title,,
Part 1— Application and Operation,2. Commencement and transitional,2.1,
Part 1— Application and Operation,2. Commencement and transitional,2.2,
Part 1— Application and Operation,2. Commencement and transitional,2.3,
Part 1— Application and Operation,2. Commencement and transitional,2.4,
Part 1— Application and Operation,2. Commencement and transitional,2.5,
Part 1— Application and Operation,2. Commencement and transitional,2.6,(a)
Part 1— Application and Operation,2. Commencement and transitional,2.6,(b)
Part 1— Application and Operation,2. Commencement and transitional,2.6,(c)
Part 1— Application and Operation,2. Commencement and transitional,2.6,(d)
Part 1— Application and Operation,3. Definitions and interpretation,3.1,(a)
Part 1— Application and Operation,3. Definitions and interpretation,3.1,(b)
Part 1— Application and Operation,3. Definitions and interpretation,3.2,
Part 1— Application and Operation,4. Coverage,4.1,
Part 1— Application and Operation,4. Coverage,4.2,
Part 1— Application and Operation,4. Coverage,4.3,
Part 1— Application and Operation,4. Coverage,4.4,
Part 1— Application and Operation,4. Coverage,4.5,
Part 1— Application and Operation,4. Coverage,4.6,
Part 1— Application and Operation,4. Coverage,4.7,
Part 1— Application and Operation,5. Access to the award and the National Employment Standards,,
Part 1— Application and Operation,6. The National Employment Standards and this award,,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.1,(a)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.1,(b)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.1,(c)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.1,(d)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.1,(e)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.2,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.3,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.4,(a)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.4,(b)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.5,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.6,(a)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.6,(b)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.6,(c)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.6,(d)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.6,(e)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.7,(a)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.7,(b)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.8,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.9,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.10,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.11,(a)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.11,(b)
Part 1— Application and Operation,7. Individual flexibility arrangements,7.12,
Part 1— Application and Operation,7. Individual flexibility arrangements,7.13,
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.1 Clause 7A provides for the exercise of the rights of workplace delegates set out in section 350C of the Act .,
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.2 In clause 7A:,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.2 In clause 7A:,(b)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.2 In clause 7A:,(c)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,"7A.3 Before exercising entitlements under clause 7A, a workplace delegate must give the employer written notice of their appointment or election as a workplace delegate. If requested, the workplace delegate must provide the employer with evidence that would satisfy a reasonable person of their appointment or election.",
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.4 An employee who ceases to be a workplace delegate must give written notice to the employer within 14 days.,
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(b)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(c)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(d)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(e)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.5 Right of representation,(f)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.6 Entitlement to reasonable communication,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.6 Entitlement to reasonable communication,(b)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.6 Entitlement to reasonable communication,(a) [2]
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.6 Entitlement to reasonable communication,(b) [2]
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(b)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(c)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(d)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(e)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(f)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.8 Entitlement to reasonable access to training,(g)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.9 Exercise of entitlements under clause 7A,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.9 Exercise of entitlements under clause 7A,(b)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.9 Exercise of entitlements under clause 7A,(c)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",7A. Workplace delegates’ rights,7A.9 Exercise of entitlements under clause 7A,(d)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",8. Consultation about major workplace change,8.1,(a)
"Part 2— Workplace Delegates, Consultation and Dispute Resolution",8. Consultation about major workplace change,8.1,(b)
